"lemma","tipatranslemma","translemma","lemma_freq","gloss","form","stressed_syll","monosyll","case","number","short_cluster","full_cluster","noep","ep","first","second","first_transcribed","noep_prop","cluster_size","first_stressed","second_transcribed","last","transcribed","first_sonority","last_sonority","last_class","second_class","second_class_simple","first_class","interesting","prep","tokens","prop","cilower","ciupper","both_sim1","both_sim2","both_either","place_sim1","place_sim2","place_either","hybrid_sim1","hybrid_sim2","hybrid_either","sim1","sim2","either","X"
"благо","bl\'ag@","blago",11163,"good","бла'го","1",FALSE,"acc","sg","бл","бл",17,258,"b","l","b",0.0618181818181818,"2","TRUE","l","l","bl",1,5,"glide","glide","sonorant","voiced_stop",TRUE,"v",275,0.938181818181818,0.902866231005971,0.963579729708016,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,1
"благо","bl\'ag@","blago",11163,"good","бла'гу","1",FALSE,"dat","sg","бл","бл",87,92,"b","l","b",0.486033519553073,"2","TRUE","l","l","bl",1,5,"glide","glide","sonorant","voiced_stop",TRUE,"k",179,0.513966480446927,0.438256895490755,0.589205912706379,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"взвод","vzv\'ot","vzvod",4308,"platoon","взво'дом","1",FALSE,"inst","sg","вз","взв",6,58,"v","z","v",0.09375,"3","TRUE","z","v","vzv",5,5,"glide","strident","strident","glide",TRUE,"s",64,0.90625,0.807030895551656,0.964812667129182,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,3
"взгляд","vzgl\super j\'at","vzgljad",52915,"view","взгля'дам","1",FALSE,"dat","pl","вз","взгл",21,7,"v","z","v",0.75,"4","TRUE","z","l","vzgl",5,5,"glide","strident","strident","glide",TRUE,"k",28,0.25,0.106907991829227,0.448715451528608,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4
"взгляд","vzgl\super j\'at","vzgljad",52915,"view","взгля'дами","1",FALSE,"inst","pl","вз","взгл",16,90,"v","z","v",0.150943396226415,"4","TRUE","z","l","vzgl",5,5,"glide","strident","strident","glide",TRUE,"s",106,0.849056603773585,0.76648030573897,0.911190398408555,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,5
"взгляд","vzgl\super j\'at","vzgljad",52915,"view","взгля'дом","1",FALSE,"inst","sg","вз","взгл",25,112,"v","z","v",0.182481751824818,"4","TRUE","z","l","vzgl",5,5,"glide","strident","strident","glide",TRUE,"s",137,0.817518248175182,0.742518427588635,0.878288073829386,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,6
"вздох","vzd\'ox","vzdox",4841,"sigh","вздо'хами","1",FALSE,"inst","pl","вз","взд",1,32,"v","z","v",0.0303030303030303,"3","TRUE","z","d","vzd",5,1,"voiced_stop","strident","strident","glide",TRUE,"s",33,0.96969696969697,0.842406027727503,0.999233087924952,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,7
"вздох","vzd\'ox","vzdox",4841,"sigh","вздо'хом","1",FALSE,"inst","sg","вз","взд",7,1363,"v","z","v",0.00510948905109489,"3","TRUE","z","d","vzd",5,1,"voiced_stop","strident","strident","glide",TRUE,"s",1370,0.994890510948905,0.989501000485922,0.997943326983332,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,NA
"взор","vz\'or","vzor",8079,"gaze","взо'ром","1",FALSE,"inst","sg","вз","вз",3,32,"v","z","v",0.0857142857142857,"2","TRUE","z","z","vz",5,3,"strident","strident","strident","glide",TRUE,"s",35,0.914285714285714,0.769424981341123,0.981962360185783,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,8
"взрослый","vzr\'osl1j","vzroslyj",12467,"adult","взро'слым","1",FALSE,"dat","pl","вз","взр",50,16,"v","z","v",0.757575757575758,"3","TRUE","z","r","vzr",5,5,"glide","strident","strident","glide",TRUE,"k",66,0.242424242424242,0.145368326498146,0.363611192337716,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9
