lemma,lemma_freq,gloss,form,stressed_syll,monosyll,case,number,short_cluster,full_cluster,noep,ep
бдительность,1214,vigilance,бди'тельностью,1,FALSE,inst,sg,бд,бд,3,0
бдительность,1214,vigilance,бди'тельностями,1,FALSE,inst,pl,бд,бд,0,0
бдительность,1214,vigilance,бди'тельности,1,FALSE,gen,sg,бд,бд,0,0
бдительность,1214,vigilance,бди'тельностей,1,FALSE,gen,pl,бд,бд,0,0
благо,11163,good,бла'гом,1,FALSE,inst,sg,бл,бл,12,1
благо,11163,good,бла'гами,1,FALSE,inst,pl,бл,бл,6,0
благо,11163,good,бла'га,1,FALSE,gen,sg,бл,бл,0,0
благо,11163,good,бла'г,1,TRUE,gen,pl,бл,бл,0,0
благодарность,6900,thanks,благода'рностью,3,FALSE,inst,sg,бл,бл,697,0
благодарность,6900,thanks,благода'рностями,3,FALSE,inst,pl,бл,бл,12,0
благодарность,6900,thanks,благода'рности,3,FALSE,gen,sg,бл,бл,13,0
благодарность,6900,thanks,благода'рностей,3,FALSE,gen,pl,бл,бл,0,0
благодать,3261,grace,благода'тью,3,FALSE,inst,sg,бл,бл,10,0
благодать,3261,grace,благода'тями,3,FALSE,inst,pl,бл,бл,0,0
благодать,3261,grace,благода'ти,3,FALSE,gen,sg,бл,бл,1,0
благодать,3261,grace,благода'тей,3,FALSE,gen,pl,бл,бл,0,0
благодетель,1976,benefactor,благоде'телем,3,FALSE,inst,sg,бл,бл,8,0
благодетель,1976,benefactor,благоде'телями,3,FALSE,inst,pl,бл,бл,0,0
благодетель,1976,benefactor,благоде'теля,3,FALSE,gen,sg,бл,бл,1,0
благодетель,1976,benefactor,благоде'телей,3,FALSE,gen,pl,бл,бл,0,0
благополучие,3377,well-being,благополу'чием,4,FALSE,inst,sg,бл,бл,8,0
благополучие,3377,well-being,благополу'чиями,4,FALSE,inst,pl,бл,бл,0,0
благополучие,3377,well-being,благополу'чия,4,FALSE,gen,sg,бл,бл,0,0
благополучие,3377,well-being,благополу'чий,4,FALSE,gen,pl,бл,бл,0,0
благородный,10215,noble,благоро'дным,3,FALSE,inst,sg,бл,бл,82,0
благородный,10215,noble,благоро'дными,3,FALSE,inst,pl,бл,бл,33,0
благородный,10215,noble,благоро'дного,3,FALSE,gen,sg,бл,бл,3,0
благородный,10215,noble,благоро'дных,3,FALSE,gen,pl,бл,бл,0,0
благородство,1899,nobility,благоро'дством,3,FALSE,inst,sg,бл,бл,23,0
благородство,1899,nobility,благоро'дствами,3,FALSE,inst,pl,бл,бл,0,0
благородство,1899,nobility,благоро'дства,3,FALSE,gen,sg,бл,бл,0,0
благородство,1899,nobility,благоро'дств,3,FALSE,gen,pl,бл,бл,0,0
благосостояние,2032,welfare,благосостоя'нием,5,FALSE,inst,sg,бл,бл,11,0
благосостояние,2032,welfare,благосостоя'ниями,5,FALSE,inst,pl,бл,бл,0,0
благосостояние,2032,welfare,благосостоя'ния,5,FALSE,gen,sg,бл,бл,0,0
благосостояние,2032,welfare,благосостоя'ний,5,FALSE,gen,pl,бл,бл,0,0
блаженство,2936,bliss,блаже'нством,2,FALSE,inst,sg,бл,бл,22,0
блаженство,2936,bliss,блаже'нствами,2,FALSE,inst,pl,бл,бл,1,0
блаженство,2936,bliss,блаже'нства,2,FALSE,gen,sg,бл,бл,0,0
блаженство,2936,bliss,блаже'нств,2,FALSE,gen,pl,бл,бл,0,0
бланк,1549,form,бла'нком,1,FALSE,inst,sg,бл,бл,11,0
бланк,1549,form,бла'нками,1,FALSE,inst,pl,бл,бл,9,0
бланк,1549,form,бла'нка,1,FALSE,gen,sg,бл,бл,1,0
бланк,1549,form,бла'нков,1,FALSE,gen,pl,бл,бл,2,0
бледность,725,pallor,бле'дностью,1,FALSE,inst,sg,бл,бл,2,0
бледность,725,pallor,бле'дностями,1,FALSE,inst,pl,бл,бл,0,0
бледность,725,pallor,бле'дности,1,FALSE,gen,sg,бл,бл,1,0
бледность,725,pallor,бле'дностей,1,FALSE,gen,pl,бл,бл,0,0
ближний,7812,Middle,бли'жним,1,FALSE,inst,sg,бл,бл,64,0
ближний,7812,Middle,бли'жними,1,FALSE,inst,pl,бл,бл,70,0
ближний,7812,Middle,бли'жнего,1,FALSE,gen,sg,бл,бл,52,0
ближний,7812,Middle,бли'жних,1,FALSE,gen,pl,бл,бл,27,0
близнец,1480,twin,близнецо'м,3,FALSE,inst,sg,бл,бл,1,0
близнец,1480,twin,близнеца'ми,3,FALSE,inst,pl,бл,бл,14,0
близнец,1480,twin,близнеца',3,FALSE,gen,sg,бл,бл,0,0
близнец,1480,twin,близнецо'в,3,FALSE,gen,pl,бл,бл,0,0
близость,4832,proximity,бли'зостью,1,FALSE,inst,sg,бл,бл,9,0
близость,4832,proximity,бли'зостями,1,FALSE,inst,pl,бл,бл,0,0
близость,4832,proximity,бли'зости,1,FALSE,gen,sg,бл,бл,0,0
близость,4832,proximity,бли'зостей,1,FALSE,gen,pl,бл,бл,0,0
блик,770,hotspot,бли'ком,1,FALSE,inst,sg,бл,бл,4,0
блик,770,hotspot,бли'ками,1,FALSE,inst,pl,бл,бл,7,0
блик,770,hotspot,бли'ка,1,FALSE,gen,sg,бл,бл,0,0
блик,770,hotspot,бли'ков,1,FALSE,gen,pl,бл,бл,0,0
блин,2776,pancake,блино'м,2,FALSE,inst,sg,бл,бл,7,0
блин,2776,pancake,блина'ми,2,FALSE,inst,pl,бл,бл,29,0
блин,2776,pancake,блина',2,FALSE,gen,sg,бл,бл,0,0
блин,2776,pancake,блино'в,2,FALSE,gen,pl,бл,бл,2,0
блиндаж,1022,dugout,блиндажо'м,3,FALSE,inst,sg,бл,бл,0,0
блиндаж,1022,dugout,блиндажа'ми,3,FALSE,inst,pl,бл,бл,6,0
блиндаж,1022,dugout,блиндажа',3,FALSE,gen,sg,бл,бл,1,0
блиндаж,1022,dugout,блиндаже'й,3,FALSE,gen,pl,бл,бл,0,0
блок,10698,block,бло'ком,1,FALSE,inst,sg,бл,бл,143,0
блок,10698,block,бло'ками,1,FALSE,inst,pl,бл,бл,23,0
блок,10698,block,бло'ка,1,FALSE,gen,sg,бл,бл,6,0
блок,10698,block,бло'ков,1,FALSE,gen,pl,бл,бл,0,0
блокнот,1515,notebook,блокно'том,2,FALSE,inst,sg,бл,бл,58,0
блокнот,1515,notebook,блокно'тами,2,FALSE,inst,pl,бл,бл,13,0
блокнот,1515,notebook,блокно'та,2,FALSE,gen,sg,бл,бл,0,0
блокнот,1515,notebook,блокно'тов,2,FALSE,gen,pl,бл,бл,0,0
блокпост,225,blockhouse,бло`кпо'стом,2,FALSE,inst,sg,бл,бл,0,0
блокпост,225,blockhouse,бло`кпо'стами,2,FALSE,inst,pl,бл,бл,0,0
блокпост,225,blockhouse,бло`кпо'ста,2,FALSE,gen,sg,бл,бл,0,0
блокпост,225,blockhouse,бло`кпо'стов,2,FALSE,gen,pl,бл,бл,0,0
блондин,835,blond,блонди'ном,2,FALSE,inst,sg,бл,бл,6,0
блондин,835,blond,блонди'нами,2,FALSE,inst,pl,бл,бл,1,0
блондин,835,blond,блонди'на,2,FALSE,gen,sg,бл,бл,0,0
блондин,835,blond,блонди'нов,2,FALSE,gen,pl,бл,бл,0,0
блюдечко,762,limpet,блю'дечком,1,FALSE,inst,sg,бл,бл,10,0
блюдечко,762,limpet,блю'дечками,1,FALSE,inst,pl,бл,бл,5,0
блюдечко,762,limpet,блю'дечка,1,FALSE,gen,sg,бл,бл,57,0
блюдечко,762,limpet,блю'дечек,1,FALSE,gen,pl,бл,бл,2,0
блюдо,5304,dish,блю'дом,1,FALSE,inst,sg,бл,бл,49,0
блюдо,5304,dish,блю'дами,1,FALSE,inst,pl,бл,бл,20,0
блюдо,5304,dish,блю'да,1,FALSE,gen,sg,бл,бл,37,0
блюдо,5304,dish,блю'д,1,TRUE,gen,pl,бл,бл,5,0
блюдце,780,saucer,блю'дцем,1,FALSE,inst,sg,бл,бл,9,0
блюдце,780,saucer,блю'дцами,1,FALSE,inst,pl,бл,бл,15,0
блюдце,780,saucer,блю'дца,1,FALSE,gen,sg,бл,бл,29,0
блюдце,780,saucer,блю'дец,1,FALSE,gen,pl,бл,бл,0,0
брак,9704,marriage,бра'ком,1,FALSE,inst,sg,бр,бр,35,0
брак,9704,marriage,бра'ками,1,FALSE,inst,pl,бр,бр,2,0
брак,9704,marriage,бра'ка,1,FALSE,gen,sg,бр,бр,2,0
брак,9704,marriage,бра'ков,1,FALSE,gen,pl,бр,бр,0,0
брань,2273,abuse,бра'нью,1,FALSE,inst,sg,бр,бр,95,0
брань,2273,abuse,бра'нями,1,FALSE,inst,pl,бр,бр,0,0
брань,2273,abuse,бра'ни,1,FALSE,gen,sg,бр,бр,1,0
брань,2273,abuse,бра'ней,1,FALSE,gen,pl,бр,бр,0,0
браслет,1116,bracelet,брасле'том,2,FALSE,inst,sg,бр,бр,20,0
браслет,1116,bracelet,брасле'тами,2,FALSE,inst,pl,бр,бр,14,0
браслет,1116,bracelet,брасле'та,2,FALSE,gen,sg,бр,бр,1,0
браслет,1116,bracelet,брасле'тов,2,FALSE,gen,pl,бр,бр,1,0
брат,51519,brother,бра'том,1,FALSE,inst,sg,бр,бр,1507,1
брат,51519,brother,бра'тьями,1,FALSE,inst,pl,бр,бр,348,0
брат,51519,brother,бра'та,1,FALSE,gen,sg,бр,бр,18,1
брат,51519,brother,бра'тьев,1,FALSE,gen,pl,бр,бр,2,0
братец,6780,my boy,бра'тцем,1,FALSE,inst,sg,бр,бр,56,0
братец,6780,my boy,бра'тцами,1,FALSE,inst,pl,бр,бр,5,0
братец,6780,my boy,бра'тца,1,FALSE,gen,sg,бр,бр,1,0
братец,6780,my boy,бра'тцев,1,FALSE,gen,pl,бр,бр,0,0
браток,582,bub,братко'м,2,FALSE,inst,sg,бр,бр,0,0
браток,582,bub,братка'ми,2,FALSE,inst,pl,бр,бр,9,0
браток,582,bub,братка',2,FALSE,gen,sg,бр,бр,0,0
браток,582,bub,братко'в,2,FALSE,gen,pl,бр,бр,0,0
братство,2282,fraternity,бра'тством,1,FALSE,inst,sg,бр,бр,6,0
братство,2282,fraternity,бра'тствами,1,FALSE,inst,pl,бр,бр,1,0
братство,2282,fraternity,бра'тства,1,FALSE,gen,sg,бр,бр,0,0
братство,2282,fraternity,бра'тств,1,TRUE,gen,pl,бр,бр,0,0
бревно,4240,log,бревно'м,2,FALSE,inst,sg,бр,бр,22,0
бревно,4240,log,брёвнами,1,FALSE,inst,pl,бр,бр,15,0
бревно,4240,log,бревна',2,FALSE,gen,sg,бр,бр,36,0
бревно,4240,log,брёвен,1,FALSE,gen,pl,бр,бр,15,0
брезгливость,653,fastidiousness,брезгли'востью,2,FALSE,inst,sg,бр,бр,69,0
брезгливость,653,fastidiousness,брезгли'востями,2,FALSE,inst,pl,бр,бр,0,0
брезгливость,653,fastidiousness,брезгли'вости,2,FALSE,gen,sg,бр,бр,0,0
брезгливость,653,fastidiousness,брезгли'востей,2,FALSE,gen,pl,бр,бр,0,0
брезент,916,tarpaulin,брезе'нтом,2,FALSE,inst,sg,бр,бр,4,0
брезент,916,tarpaulin,брезе'нтами,2,FALSE,inst,pl,бр,бр,0,0
брезент,916,tarpaulin,брезе'нта,2,FALSE,gen,sg,бр,бр,1,0
брезент,916,tarpaulin,брезе'нтов,2,FALSE,gen,pl,бр,бр,0,0
бремя,2349,burden,бре'менем,1,FALSE,inst,sg,бр,бр,10,0
бремя,2349,burden,бремена'ми,3,FALSE,inst,pl,бр,бр,0,0
бремя,2349,burden,бре'мени,1,FALSE,gen,sg,бр,бр,0,0
бремя,2349,burden,бремён,2,FALSE,gen,pl,бр,бр,0,1
бригадир,2686,foreman,бригади'ром,3,FALSE,inst,sg,бр,бр,42,0
бригадир,2686,foreman,бригади'рами,3,FALSE,inst,pl,бр,бр,7,0
бригадир,2686,foreman,бригади'ра,3,FALSE,gen,sg,бр,бр,5,0
бригадир,2686,foreman,бригади'ров,3,FALSE,gen,pl,бр,бр,0,0
бриллиант,1840,diamond,бриллиа'нтом,3,FALSE,inst,sg,бр,бр,50,0
бриллиант,1840,diamond,бриллиа'нтами,3,FALSE,inst,pl,бр,бр,113,0
бриллиант,1840,diamond,бриллиа'нта,3,FALSE,gen,sg,бр,бр,0,0
бриллиант,1840,diamond,бриллиа'нтов,3,FALSE,gen,pl,бр,бр,0,0
бросок,1110,throw,броско'м,2,FALSE,inst,sg,бр,бр,8,0
бросок,1110,throw,броска'ми,2,FALSE,inst,pl,бр,бр,3,0
бросок,1110,throw,броска',2,FALSE,gen,sg,бр,бр,0,0
бросок,1110,throw,броско'в,2,FALSE,gen,pl,бр,бр,0,0
бруствер,585,parapet,бру'ствером,1,FALSE,inst,sg,бр,бр,5,0
бруствер,585,parapet,бруствера'ми,3,FALSE,inst,pl,бр,бр,2,0
бруствер,585,parapet,бру'ствера,1,FALSE,gen,sg,бр,бр,24,0
бруствер,585,parapet,брустверо'в,3,FALSE,gen,pl,бр,бр,5,0
бруствер,585,parapet,бру'ствером,1,FALSE,inst,sg,бр,бр,5,0
бруствер,585,parapet,бру'стверами,1,FALSE,inst,pl,бр,бр,2,0
бруствер,585,parapet,бру'ствера,1,FALSE,gen,sg,бр,бр,24,0
бруствер,585,parapet,бру'стверов,1,FALSE,gen,pl,бр,бр,5,0
брюхо,2431,belly,брю'хом,1,FALSE,inst,sg,бр,бр,25,0
брюхо,2431,belly,брю'хами,1,FALSE,inst,pl,бр,бр,0,0
брюхо,2431,belly,брю'ха,1,FALSE,gen,sg,бр,бр,16,0
брюхо,2431,belly,брю'х,1,TRUE,gen,pl,бр,бр,0,0
введение,6573,Introduction,введе'нием,2,FALSE,inst,sg,вв,вв,329,10
введение,6573,Introduction,введе'ниями,2,FALSE,inst,pl,вв,вв,0,0
введение,6573,Introduction,введе'ния,2,FALSE,gen,sg,вв,вв,5,1
введение,6573,Introduction,введе'ний,2,FALSE,gen,pl,вв,вв,0,0
ввод,1821,input,вво'дом,1,FALSE,inst,sg,вв,вв,74,0
ввод,1821,input,вво'дами,1,FALSE,inst,pl,вв,вв,2,0
ввод,1821,input,вво'да,1,FALSE,gen,sg,вв,вв,4,0
ввод,1821,input,вво'дов,1,FALSE,gen,pl,вв,вв,0,0
вдохновение,2726,inspiration,вдохнове'нием,3,FALSE,inst,sg,вд,вд,63,1
вдохновение,2726,inspiration,вдохнове'ниями,3,FALSE,inst,pl,вд,вд,0,0
вдохновение,2726,inspiration,вдохнове'ния,3,FALSE,gen,sg,вд,вд,1,0
вдохновение,2726,inspiration,вдохнове'ний,3,FALSE,gen,pl,вд,вд,0,0
взаимодействие,8159,interaction,взаимоде'йствием,4,FALSE,inst,sg,вз,вз,11,4
взаимодействие,8159,interaction,взаимоде'йствиями,4,FALSE,inst,pl,вз,вз,0,0
взаимодействие,8159,interaction,взаимоде'йствия,4,FALSE,gen,sg,вз,вз,1,0
взаимодействие,8159,interaction,взаимоде'йствий,4,FALSE,gen,pl,вз,вз,0,0
взаимоотношение,3983,relationship,взаимоотноше'нием,6,FALSE,inst,sg,вз,вз,1,1
взаимоотношение,3983,relationship,взаимоотноше'ниями,6,FALSE,inst,pl,вз,вз,10,3
взаимоотношение,3983,relationship,взаимоотноше'ния,6,FALSE,gen,sg,вз,вз,0,0
взаимоотношение,3983,relationship,взаимоотноше'ний,6,FALSE,gen,pl,вз,вз,0,1
взвод,4308,platoon,взво'дом,1,FALSE,inst,sg,вз,взв,6,58
взвод,4308,platoon,взво'дами,1,FALSE,inst,pl,вз,взв,0,3
взвод,4308,platoon,взво'да,1,FALSE,gen,sg,вз,взв,0,3
взвод,4308,platoon,взво'дов,1,FALSE,gen,pl,вз,взв,0,1
взгляд,52915,view,взгля'дом,1,FALSE,inst,sg,вз,взгл,25,112
взгляд,52915,view,взгля'дами,1,FALSE,inst,pl,вз,взгл,16,90
взгляд,52915,view,взгля'да,1,FALSE,gen,sg,вз,взгл,1,7
взгляд,52915,view,взгля'дов,1,FALSE,gen,pl,вз,взгл,0,0
вздох,4841,sigh,вздо'хом,1,FALSE,inst,sg,вз,взд,7,1363
вздох,4841,sigh,вздо'хами,1,FALSE,inst,pl,вз,взд,1,32
вздох,4841,sigh,вздо'ха,1,FALSE,gen,sg,вз,взд,0,2
вздох,4841,sigh,вздо'хов,1,FALSE,gen,pl,вз,взд,0,0
взмах,1065,wag,взма'хом,1,FALSE,inst,sg,вз,взм,1,1
взмах,1065,wag,взма'хами,1,FALSE,inst,pl,вз,взм,0,1
взмах,1065,wag,взма'ха,1,FALSE,gen,sg,вз,взм,0,1
взмах,1065,wag,взма'хов,1,FALSE,gen,pl,вз,взм,0,1
взнос,1945,fee,взно'сом,1,FALSE,inst,sg,вз,взн,0,4
взнос,1945,fee,взно'сами,1,FALSE,inst,pl,вз,взн,1,1
взнос,1945,fee,взно'са,1,FALSE,gen,sg,вз,взн,0,0
взнос,1945,fee,взно'сов,1,FALSE,gen,pl,вз,взн,0,3
взор,8079,gaze,взо'ром,1,FALSE,inst,sg,вз,вз,3,32
взор,8079,gaze,взо'рами,1,FALSE,inst,pl,вз,вз,1,6
взор,8079,gaze,взо'ра,1,FALSE,gen,sg,вз,вз,0,0
взор,8079,gaze,взо'ров,1,FALSE,gen,pl,вз,вз,0,1
взрослый,12467,adult,взро'слым,1,FALSE,inst,sg,вз,взр,10,96
взрослый,12467,adult,взро'слыми,1,FALSE,inst,pl,вз,взр,17,236
взрослый,12467,adult,взро'слого,1,FALSE,gen,sg,вз,взр,1,9
взрослый,12467,adult,взро'слых,1,FALSE,gen,pl,вз,взр,0,7
взрыв,8852,explosion,взры'вом,1,FALSE,inst,sg,вз,взр,6,40
взрыв,8852,explosion,взры'вами,1,FALSE,inst,pl,вз,взр,2,23
взрыв,8852,explosion,взры'ва,1,FALSE,gen,sg,вз,взр,0,3
взрыв,8852,explosion,взры'вов,1,FALSE,gen,pl,вз,взр,0,1
взрывной,1107,explosive,взрывны'м,2,FALSE,inst,sg,вз,взр,5,5
взрывной,1107,explosive,взрывны'ми,2,FALSE,inst,pl,вз,взр,2,0
взрывной,1107,explosive,взрывно'го,2,FALSE,gen,sg,вз,взр,0,0
взрывной,1107,explosive,взрывны'х,2,FALSE,gen,pl,вз,взр,0,1
взятие,1963,taking,взя'тием,1,FALSE,inst,sg,вз,вз,2,31
взятие,1963,taking,взя'тиями,1,FALSE,inst,pl,вз,вз,0,0
взятие,1963,taking,взя'тия,1,FALSE,gen,sg,вз,вз,0,2
взятие,1963,taking,взя'тий,1,FALSE,gen,pl,вз,вз,0,0
взяток,2860,bribes,взя'тком,1,FALSE,inst,sg,вз,вз,0,0
взяток,2860,bribes,взя'тками,1,FALSE,inst,pl,вз,вз,0,24
взяток,2860,bribes,взя'тка,1,FALSE,gen,sg,вз,вз,0,0
взяток,2860,bribes,взя'тков,1,FALSE,gen,pl,вз,вз,0,0
вклад,4622,contribution,вкла'дом,1,FALSE,inst,sg,вк,вкл,10,3
вклад,4622,contribution,вкла'дами,1,FALSE,inst,pl,вк,вкл,3,5
вклад,4622,contribution,вкла'да,1,FALSE,gen,sg,вк,вкл,2,9
вклад,4622,contribution,вкла'дов,1,FALSE,gen,pl,вк,вкл,0,0
вкладчик,670,depositor,вкла'дчиком,1,FALSE,inst,sg,вк,вкл,1,0
вкладчик,670,depositor,вкла'дчиками,1,FALSE,inst,pl,вк,вкл,18,0
вкладчик,670,depositor,вкла'дчика,1,FALSE,gen,sg,вк,вкл,0,0
вкладчик,670,depositor,вкла'дчиков,1,FALSE,gen,pl,вк,вкл,0,0
включение,2628,inclusion,включе'нием,2,FALSE,inst,sg,вк,вкл,98,47
включение,2628,inclusion,включе'ниями,2,FALSE,inst,pl,вк,вкл,8,1
включение,2628,inclusion,включе'ния,2,FALSE,gen,sg,вк,вкл,0,0
включение,2628,inclusion,включе'ний,2,FALSE,gen,pl,вк,вкл,0,0
вкус,13349,taste,вку'сом,1,FALSE,inst,sg,вк,вк,3,735
вкус,13349,taste,вку'сами,1,FALSE,inst,pl,вк,вк,1,17
вкус,13349,taste,вку'са,1,FALSE,gen,sg,вк,вк,2,2
вкус,13349,taste,вку'сов,1,FALSE,gen,pl,вк,вк,0,0
владелец,8626,owner,владе'льцем,2,FALSE,inst,sg,вл,вл,77,0
владелец,8626,owner,владе'льцами,2,FALSE,inst,pl,вл,вл,40,0
владелец,8626,owner,владе'льца,2,FALSE,gen,sg,вл,вл,9,0
владелец,8626,owner,владе'льцев,2,FALSE,gen,pl,вл,вл,28,0
владение,5857,possession,владе'нием,2,FALSE,inst,sg,вл,вл,11,0
владение,5857,possession,владе'ниями,2,FALSE,inst,pl,вл,вл,13,0
владение,5857,possession,владе'ния,2,FALSE,gen,sg,вл,вл,0,1
владение,5857,possession,владе'ний,2,FALSE,gen,pl,вл,вл,2,0
властитель,1262,ruler,власти'телем,2,FALSE,inst,sg,вл,вл,3,0
властитель,1262,ruler,власти'телями,2,FALSE,inst,pl,вл,вл,4,0
властитель,1262,ruler,власти'теля,2,FALSE,gen,sg,вл,вл,0,0
властитель,1262,ruler,власти'телей,2,FALSE,gen,pl,вл,вл,0,0
власть,67217,power,вла'стью,1,FALSE,inst,sg,вл,вл,440,17
власть,67217,power,властя'ми,2,FALSE,inst,pl,вл,вл,187,2
власть,67217,power,вла'сти,1,FALSE,gen,sg,вл,вл,3,0
власть,67217,power,власте'й,2,FALSE,gen,pl,вл,вл,2,0
влечение,2203,inclination,влече'нием,2,FALSE,inst,sg,вл,вл,7,0
влечение,2203,inclination,влече'ниями,2,FALSE,inst,pl,вл,вл,4,0
влечение,2203,inclination,влече'ния,2,FALSE,gen,sg,вл,вл,0,0
влечение,2203,inclination,влече'ний,2,FALSE,gen,pl,вл,вл,0,0
влияние,24926,influence,влия'нием,2,FALSE,inst,sg,вл,вл,80,3
влияние,24926,influence,влия'ниями,2,FALSE,inst,pl,вл,вл,5,0
влияние,24926,influence,влия'ния,2,FALSE,gen,sg,вл,вл,1,0
влияние,24926,influence,влия'ний,2,FALSE,gen,pl,вл,вл,0,0
вмешательство,3055,intervention,вмеша'тельством,2,FALSE,inst,sg,вм,вм,15,2
вмешательство,3055,intervention,вмеша'тельствами,2,FALSE,inst,pl,вм,вм,0,0
вмешательство,3055,intervention,вмеша'тельства,2,FALSE,gen,sg,вм,вм,0,0
вмешательство,3055,intervention,вмеша'тельств,2,FALSE,gen,pl,вм,вм,0,0
внедрение,3310,introduction,внедре'нием,2,FALSE,inst,sg,вн,вн,76,0
внедрение,3310,introduction,внедре'ниями,2,FALSE,inst,pl,вн,вн,0,0
внедрение,3310,introduction,внедре'ния,2,FALSE,gen,sg,вн,вн,2,0
внедрение,3310,introduction,внедре'ний,2,FALSE,gen,pl,вн,вн,0,0
внешность,3403,appearance,вне'шностью,1,FALSE,inst,sg,вн,вн,85,2
